"","1642.MS00349","2382.SH004.C1.RH.3.413.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00545","1001.SKD8","1642.MS00599","1642.MS00370","1642.MS00398","1642.MS00356","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00555","1642.MS00413","1642.MS00419","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00360","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00559","1642.MS00606","1642.MS00461","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00558","1642.MS00500","1001.SKM9","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00340","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00388","1642.MS00637","1642.MS00609"
"1642.MS00349",0,0.0992619991391,0.0984321739524,0.0376516735619,0.1370886207606,0.0596667780234,0.0641573130187,0.0291083295603,0.0224896850219,0.0965206769002,0.0921853566731,0.0984028407851,0.0895417024519,0.0870533855571,0.0950506527674,0.0455269035326,0.030576533491,0.0300613847997,0.0911262073738,0.0199548833741,0.1006875540943,0.038474779893,0.0449014101078,0.0421833656511,0.1015421645284,0.088401997335,0.0460177707568,0.0415663833163,0.1694467786136,0.0919144217304,0.0924266542392,0.099290344384,0.0860725404795,0.08754761045,0.0233629970037,0.0856121721292,0.0999362797144,0.028050800497,0.0410506814406,0.0414725556666
"2382.SH004.C1.RH.3.413.root.4.12.lane7.NoIndex.L007.sequences",0.0992619991391,0,0.0385476494543,0.0968410657537,0.0711531888082,0.0909893509882,0.1094364704356,0.0916148313979,0.08516777651,0.0467408155706,0.052605797397,0.0503860404729,0.0414940704742,0.0325613517562,0.0506607119029,0.1100719787242,0.0946576611601,0.1016885410904,0.0378622632658,0.0953514126119,0.0148611682863,0.0995706753029,0.0989880418097,0.0969376571611,0.0193707286659,0.0229977613435,0.1002172941483,0.0929266308874,0.081374778604,0.0388899664874,0.0396153812537,0.0185100723393,0.0354540374632,0.0199154073321,0.0848196455643,0.0179274056789,0.0149134282153,0.1001721110955,0.0941404404485,0.0981230098504
"2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences",0.0984321739524,0.0385476494543,0,0.0939064832975,0.1024851568546,0.0924172468308,0.1086740257436,0.0902910353932,0.0880036965473,0.067680741359,0.0593818629481,0.063274156313,0.0123622827465,0.0539395685919,0.0483100729184,0.1119798028231,0.0942972217436,0.1027321595734,0.0513877179737,0.0965766318577,0.0404158470976,0.1004878099728,0.1091048600284,0.0991526214315,0.0257716417469,0.0351496856585,0.0993735237505,0.0899700391486,0.1068459902718,0.0487805287222,0.0519875964014,0.0428373301757,0.051520696273,0.0373540181733,0.0844626857843,0.0344066557306,0.0325472589472,0.1039976407009,0.0959401941466,0.1092531361877
"1642.MS00545",0.0376516735619,0.0968410657537,0.0939064832975,0,0.1556257701527,0.0412625426559,0.0911634699476,0.0290322237594,0.0365242737864,0.0896207937227,0.088894242318,0.0890038022506,0.0853669856632,0.0849066893421,0.0884355492297,0.0233436326236,0.0207972583077,0.0228467870466,0.0864927805291,0.0318923310111,0.1090849247902,0.0198499151559,0.0210223169683,0.0231044807864,0.1085412653573,0.0844736671125,0.0237270868781,0.0183975687017,0.1759795216198,0.0841072787033,0.0894467061166,0.0995120312483,0.0837167744417,0.0892957758856,0.0269781820534,0.0880697291871,0.0988894123192,0.0311466247922,0.0223786067574,0.0198236108785
"1001.SKD8",0.1370886207606,0.0711531888082,0.1024851568546,0.1556257701527,0,0.1382273846982,0.1234855237131,0.1393280440618,0.120203447779,0.1259221930517,0.1294821127614,0.1376734876867,0.1099927764575,0.1016112506517,0.1323009926519,0.1730700099558,0.1512207344284,0.1570324073727,0.1163117270479,0.1266416857902,0.0735593812634,0.1621650896422,0.1759075224893,0.1581416120514,0.0762527422225,0.0813745824502,0.1560822196729,0.1413844764631,0.0363541722658,0.11565024351,0.101721340674,0.0822708433176,0.1095205520142,0.0822795246375,0.1237825254901,0.0723211671576,0.082188438989,0.1414879653438,0.1439751675956,0.1669951076728
"1642.MS00599",0.0596667780234,0.0909893509882,0.0924172468308,0.0412625426559,0.1382273846982,0,0.0764483180333,0.0540032029071,0.0589638396262,0.0912837550307,0.0897552981739,0.0920678705096,0.0857379100361,0.0841527897535,0.0897316127575,0.0530171598588,0.0465517119733,0.0445697819409,0.0882819335255,0.0558643476772,0.0990693025696,0.0449828871615,0.0433257963077,0.0466531349268,0.1012944871086,0.0809461946548,0.0467796522857,0.0413838311948,0.123913807863,0.0831297824546,0.0868271082716,0.0964445566611,0.0872904911561,0.084704962088,0.0483287409061,0.0848635441756,0.0995242871088,0.0571618928175,0.0209429460838,0.0418612585726
"1642.MS00370",0.0641573130187,0.1094364704356,0.1086740257436,0.0911634699476,0.1234855237131,0.0764483180333,0,0.0715135828176,0.0603739850598,0.1294968932895,0.1256648369631,0.1317636617581,0.1065306018075,0.111155373328,0.1274422178861,0.1041332539234,0.0949110283878,0.0965144243239,0.1202309302121,0.0676027369411,0.1177081950615,0.1001469882681,0.1053144915127,0.0934238536811,0.1137237101287,0.1001153238601,0.10755353159,0.0897002391433,0.1865976111627,0.1185616429172,0.1239916890135,0.109244494896,0.1151834478206,0.1030766737169,0.0659804874128,0.1023162200323,0.1085108267686,0.082264805389,0.0964142050115,0.1017118619652
"1642.MS00398",0.0291083295603,0.0916148313979,0.0902910353932,0.0290322237594,0.1393280440618,0.0540032029071,0.0715135828176,0,0.0301325541672,0.0912169680011,0.0914631952633,0.0869822147572,0.082748815572,0.0813108521093,0.0895149642572,0.0349188587891,0.026214476591,0.0257523754834,0.0855928306509,0.0236469498949,0.0990746381629,0.0299188888855,0.0334110938895,0.0272164181137,0.1016956010277,0.0807076781905,0.0330750942745,0.0279565641466,0.1682694182261,0.0853334744091,0.0884266682328,0.0888104173104,0.0848261002097,0.083004909453,0.0198251313319,0.0810275627332,0.0912618579707,0.024920265068,0.0343914587465,0.0347155346638
"1642.MS00356",0.0224896850219,0.08516777651,0.0880036965473,0.0365242737864,0.120203447779,0.0589638396262,0.0603739850598,0.0301325541672,0,0.0874411908999,0.0833997839836,0.0840550332176,0.0755491507756,0.0773727356718,0.0847652446875,0.0468499778549,0.0315115336015,0.03311889286,0.0813807448288,0.0210441583931,0.0863373325105,0.0407345567737,0.0465256088228,0.0399183544771,0.0823184057921,0.0762041721587,0.0452754260211,0.037418686073,0.1640061198474,0.0820250997972,0.082443764635,0.0833206099865,0.0759623776649,0.0755639514966,0.025653182378,0.073342931499,0.0844775015409,0.0281922464587,0.0417641164796,0.042113427392
"2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0965206769002,0.0467408155706,0.067680741359,0.0896207937227,0.1259221930517,0.0912837550307,0.1294968932895,0.0912169680011,0.0874411908999,0,0.0269073314406,0.0278317754894,0.0588602366836,0.0262590234595,0.0414760969292,0.0957920217393,0.0842017813408,0.0880958559353,0.0258712392741,0.0896900981729,0.0580838751987,0.0866145920915,0.0944073409256,0.0925129181227,0.0558785904107,0.0378778745122,0.0892263689414,0.0865843360002,0.1343055386032,0.0248644537653,0.0274203386194,0.0462938630004,0.0301867163722,0.0348327032312,0.0861145975187,0.039234506864,0.0474460742054,0.0943549897571,0.0863809612001,0.0901919979489
"2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0921853566731,0.052605797397,0.0593818629481,0.088894242318,0.1294821127614,0.0897552981739,0.1256648369631,0.0914631952633,0.0833997839836,0.0269073314406,0,0.0275208766479,0.0551731968221,0.0327883093549,0.0381895167772,0.0941708036885,0.0830538186446,0.0872476091332,0.0277005927505,0.0895514426565,0.0577869664948,0.0870738716155,0.0921042982957,0.0912371251656,0.0532488758955,0.0393193115822,0.0886256896336,0.0859968555581,0.1362602554591,0.0286404680764,0.0275790791716,0.0510764506835,0.032162229601,0.042417028759,0.0852058979705,0.0428744378296,0.0509988168234,0.0957242864244,0.0867218530831,0.0906797966565
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.0984028407851,0.0503860404729,0.063274156313,0.0890038022506,0.1376734876867,0.0920678705096,0.1317636617581,0.0869822147572,0.0840550332176,0.0278317754894,0.0275208766479,0,0.0551386422982,0.0294403212593,0.038464201793,0.0942571057137,0.0814620751631,0.0867469200661,0.0283390447599,0.0895475382761,0.0590669557977,0.0867909216423,0.0936475604057,0.089523791634,0.0564463616571,0.0417324971876,0.0876200443958,0.0841844912014,0.1347016092026,0.0282055820905,0.0290127493346,0.0497631068708,0.0321938158118,0.0435300660647,0.0844528641037,0.0423050732326,0.0507891262714,0.0939968719912,0.0879244634779,0.0899621961643
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",0.0895417024519,0.0414940704742,0.0123622827465,0.0853669856632,0.1099927764575,0.0857379100361,0.1065306018075,0.082748815572,0.0755491507756,0.0588602366836,0.0551731968221,0.0551386422982,0,0.0508496168578,0.043570659514,0.0987638676049,0.0833423677634,0.0904929415286,0.0466248117308,0.0856534563779,0.0450008229002,0.0889969834759,0.0959473746199,0.0866030372212,0.0305323289438,0.0343642184578,0.0903763940623,0.0824893793863,0.1173498903404,0.0441265024083,0.0446013074111,0.0461187211117,0.0467743487995,0.0392494080903,0.0768664617797,0.0322807936999,0.0352648866195,0.0924860824663,0.0876705494573,0.0956430394214
